0	10	20	30	40	50	40	30	20	10	0
0	19.7	29.2	33.9	38.6	48	38.6	33.9	29.2	19.7	0
0	5.1	9.7	30.8	39.7	49	39.7	30.8	9.7	5.1	0
0	8.4	28.1	47.1	49.4	44.4	38.7	32.7	28.2	19.7	0
0	19.7	28.2	32.7	38.7	44.4	49.4	47.1	28.1	8.4	0
0	47.3	47.3	48.4	41.5	41.5	41.5	29.2	20.3	9.4	0
0	9.4	20.3	29.2	41.5	41.5	41.5	48.4	47.3	47.3	0
0	0.1	0.3	4.2	19.7	50	19.7	4.2	0.3	0.1	0
0	4.2	10.4	20	28.7	50	28.7	20	10.4	4.2	0
0	4.7	10	29.5	50	29.5	10	4.7	4.7	0.6	0
0	0.6	4.7	4.7	10	29.5	50	29.5	10	4.7	0
0	0	0.5	0.5	4.7	5.1	10.5	21	50	21	0
0	21	50	21	10.5	5.1	4.7	0.5	0.5	0	0
0	0	0	6.8	21.8	50	45.6	44.5	35.6	25.1	0
